organization organization_new
"regensburg univ med ctr" "regensburg univ"
"univ eye hosp muenster" "eye hosp univ"
"orthoped univ hosp heidelberg" "orthoped hosp heidelberg univ"
"univ eye hosp tubingen" "eye hosp tubingen univ"
"helmut schmidt univ hamburg" "helmut schmidt hamburg univ"
"fulda univ appl sci" "fulda appl sci univ"
"univ appl sci fulda" "fulda appl sci univ"
"univ klinikums leipzig" "klinikums leipzig univ"
"christian albrecht univ kiel" "christian albrecht kiel univ"
"univ appl sci wiesbaden" "appl sci wiesbaden univ"
"univ heart ctr" "heart ctr univ"
"med univ freiburg" "med freiburg univ"
"med univ tubingen" "med tubingen univ"
"univ childrens hosp dusseldorf" "childrens hosp univ"
"univ childrens hosp tubingen" "childrens hosp tubingen univ"
"childrens univ clin" "childrens clin univ"
"munster univ childrens hosp" "hosp muenster univ"
"univ childrens hosp rostock" "childrens hosp rostock univ"
"univ childrens hosp freiburg" "childrens hosp freiburg univ"
"univ med ctr dusseldorf" "med ctr dusseldorf univ"
"philipps univ hosp" "philipps hosp univ"
"muenster univ hosp" "munster univ"
"wurzburg univ hosp" "wurzburg hosp univ"
"univ hosp 1 essen" "hosp essen univ"
"univ clin cologne" "cologne univ"
"univ wuerzburg hosp" "wuerzburg hosp univ"
"charity univ hosp" "charity hosp univ"
"univ technol berlin" "technol berlin univ"
"univ educ heidelberg" "heidelberg univ"
"univ koblenz" "koblenz univ"
"tech univ freiberg" "tech freiberg univ"
"univers hosp erlangen" "erlangen hosp univ"
"univ med ctr frankfurt" "goethe frankfurt univ"
"univ munich grosshadern" "munich grosshadern univ"
"univ clin halle saale" "clin halle saale univ"
"univ med ctr kiel" "kiel univ"
"munster univ hosp" "munster hosp univ"
"charite campus virchow univ hosp" "charite campus virchow hosp univ"
"ludwig maximilians univ hosp munich" "ludwig maximilians hosp munich univ"
"womans univ hosp heidelberg" "heidelberg univ"
"univ clin freiburg" "clin freiburg univ"
"heinrich heine univ" "dusseldorf univ"
"heidelberg univ hosp internal med" "heidelberg hosp internal med univ"
"munich univ clin" "munich clin univ"
"univ klinikum giessen & marburg gmbh" "klinikum giessen marburg gmbh univ"
"justus liebig univ hosp" "justus liebig hosp univ"
"wuerzburg univ hosp" "hosp wurzburg univ"
"univ childrens hosp essen" "childrens hosp essen univ"
"univ childrens hosp iii" "goethe frankfurt univ"
"freiburg univ hosp" "freiburg univ"
"univ hosp giessen & marburg gmbh" "hosp giessen marburg gmbh univ"
"univ klin" "klin univ"
"deutsch telekom univ appl sci" "deutsch telekom appl sci univ"
"friedensau univ" "friedensau univ"
"univ appl sci neubrandenburg" "appl sci neubrandenburg univ"
"munster univ appl sci" "munster appl sci univ"
"univ educ" "educ univ"
"rheinisch westfael tech hsch univ hosp aachen" "aachen univ"
"freie univ" "freie univ"
"univ heidelbergand" "heidelberg univ"
"klinikum univ ludwig mazimilans munich" "klinikum ludwig mazimilans munich univ"
"klinikum ludwig maximilians univ munich" "munich univ"
"klinikum univ munich" "munich univ"
"hamburg univ appl sci" "hamburg univ"
"univ appl sci kaiserslautern" "appl sci kaiserslautern univ"
"univ klin & poliklin innere med 1" "klin poliklin innere med univ"
"univ dortmund" "dortmund univ"
"univ klin knappschaftskrankenhaus" "bochum univ"
"dresden univ" "dresden univ"
"univ hosp homburg" "hosp homburg univ"
"martin luther univ halle wittenberg" "halle wittenberg univ"
"univ med ctr ulm" "ulm univ"
"univ hosp carl gustav carus dresden" "hosp carl gustav carus dresden univ"
"hosp johann wolfgang goethe univ frankfurt am main" "hosp johann wolfgang goethe frankfurt am main univ"
"univ saarland homburg saar" "saarland homburg saar univ"
"heidelberg univ clin" "heidelberg univ"
"lm univ munich" "lm munich univ"
"univ clin muenster" "clin muenster univ"
"saarland univ med ctr" "saarland med ctr univ"
"rupertus carola univ heidelberg" "heidelberg univ"
"univ clin leipzig" "clin leipzig univ"
"univ hosp lubeck" "hosp lubeck univ"
"univ halle" "halle univ"
"univ appl sci hamburg" "appl sci univ"
"beuth univ sci berlin" "beuth sci berlin univ"
"univ erlangen nuernberg" "erlangen nurnberg univ"
"freiderich alexander univ" "freiderich alexander univ"
